trader,tier,cluster,cluster_label,weight,dollar_allocation,sharpe,sortino,max_drawdown,win_rate,composite_score
0x77d4aa158439c01cac7d726d1260ec627900ba35,satellite,1,pos_skew,1.763149419205446e-05,1.763149419205446,1.6800243870227607,2.9351196114309728,-0.36440650560148535,0.5,0.41051401869158877
0x7a5a42bd6b1fd13368732be8a7b63e06064e0394,satellite,1,pos_skew,0.002599660037808824,259.9660037808824,1.3870680678959941,1.9844588513403414,-0.3531900940877487,0.5465116279069767,0.37149532710280375
0x7e09dfbba23d078e16f038b1ed4c558185c4be1e,core,1,pos_skew,0.005648852704938799,564.88527049388,4.4348016128815315,13.221625286861386,-0.2805764151696739,0.43023255813953487,0.652803738317757
0x7ea852a2d9e31f41ff945908fd0bc02df969bcb1,core,1,pos_skew,7.343396164953962e-05,7.343396164953962,3.6855948893796957,6.950631617822846,-0.18039232877533493,0.527027027027027,0.7228971962616824
0x7fdf3e814f84e69831111f1cfefeb0936f81bb63,satellite,0,high_vol_pos_skew,0.01734730872890608,1734.730872890608,1.6331846359616449,5.6664456601530775,-0.15090921916445144,0.3651685393258427,0.4908878504672897
0x84282a0d37c4ba71309071575d55f2bafc779c82,core,1,pos_skew,0.005305428648589437,530.5428648589437,3.8118246659582624,8.700492757652146,-0.48345342486417686,0.5463917525773195,0.72803738317757
0x856c35038594767646266bc7fd68dc26480e910d,satellite,1,pos_skew,5.140377315467774e-05,5.140377315467774,1.8641817031049044,3.0423501939085327,-0.40575598202355817,0.5174418604651163,0.4114485981308411
0x87e8b39e166388f9fe6e57c291afc441c9e3a515,core,1,pos_skew,0.0037138000540126053,371.3800054012605,5.336672427558167,10.801647437357655,-0.2330039413698841,0.55,0.8509345794392523
0x890ee2210dc42e041dac383ec776be6d31c9fdce,core,1,pos_skew,0.005305428648589437,530.5428648589437,5.760946147169832,20.289052044595863,-0.10016410436014131,0.3974358974358974,0.8404205607476636
0x8ec2a23e27b723b02a8643669c97185810d17a68,satellite,1,pos_skew,8.639432154106684e-06,0.8639432154106684,2.1409870843367536,4.5069182684738145,-0.33073630112327246,0.5116279069767442,0.46518691588785044
0x8f844d3c0c06526387fa01d165fba8c3984efdac,satellite,1,pos_skew,0.005305428648589437,530.5428648589437,2.3162428966839226,3.529029771835067,-0.3887848418041263,0.5466666666666666,0.5785046728971963
0x971fc0c9becffd708c52a195b8a87c27359e77fa,core,1,pos_skew,0.011861622758277603,1186.1622758277604,3.9790228279834916,8.391238770621916,-0.0331293638826859,0.6416184971098265,0.8542056074766355
0x9803e982c4eb6d9b9e416966814e7f9fa4363bce,core,1,pos_skew,0.0008916833929684261,89.16833929684262,4.219512294359854,8.60413259121667,-0.09742838741179063,0.546875,0.780607476635514
0x988caf2d1aa1ffc52c666f67d9a3e13a72ba6e04,core,1,pos_skew,0.00010490565949934233,10.490565949934233,3.0799740012908776,8.640858412055085,-0.17817362520861732,0.5204081632653061,0.7434579439252337
0x98d5c0b380e528ae8f1d5d75d0734622d9a2e930,satellite,1,pos_skew,8.639432154106684e-06,0.8639432154106684,1.3637309985895345,2.732329510559715,-0.4212845274370806,0.48314606741573035,0.4105140186915887
0x9b5b1931fa5838a891973f9877c7648c93ee80cc,satellite,0,high_vol_pos_skew,0.0007000264789539452,70.00264789539452,1.7936468444348732,7.096429705064944,-0.22046156587406676,0.5224719101123596,0.622196261682243
0x9bc5cf674521a6e67f512ec1f46042d99f98e267,satellite,2,high_wr_erratic_pos_skew,1.1399326372259755e-06,0.11399326372259755,1.739784061892496,3.339867832515394,-0.06582883787506075,0.4649122807017544,0.4593457943925234
0xa1b6d8efbcb2fb750a84dbc05649fa4968034f04,satellite,2,high_wr_erratic_pos_skew,0.028016535172682638,2801.653517268264,3.2342587341011138,3.071427721249334,-0.17729032932592742,0.7359550561797753,0.564018691588785
0xa24c5ca26c41cc52aeac1d6886d37f6dd5d6949f,core,2,high_wr_erratic_pos_skew,0.012143116110234255,1214.3116110234255,3.571765096260948,6.588550918838038,-0.15771978833887024,0.6031746031746031,0.6728971962616823
0xa38157f31371eec73fd878097c249f16472b066c,core,3,high_vol_trend_low_wr_stable_pos_skew,0.01734730872890608,1734.730872890608,2.97624175121881,51.27656874369977,-0.06650287955615652,0.3695652173913043,0.8320093457943926
0xa415c4ded17cac76a1d81a54d9f4aeb48ffd4dd0,core,1,pos_skew,0.03706787845503852,3706.7878455038517,4.801019874910691,10.319310260824285,-0.008200767416375723,0.6744186046511628,0.9329439252336449
